product_id,department_id,department,product_name
1,4,Books,Product_1_Store
2,2,Books,Product_2_There
3,4,Books,Product_3_Hand
4,6,Sports,Product_4_Tv
5,1,Toys,Product_5_Easy
6,1,Sports,Product_6_Woman
7,5,Home,Product_7_Yard
8,5,Books,Product_8_Manager
9,6,Toys,Product_9_Face
10,4,Sports,Product_10_Sport
11,2,Clothing,Product_11_Parent
12,2,Books,Product_12_Contain
13,4,Sports,Product_13_Audience
14,1,Home,Product_14_Job
15,3,Toys,Product_15_That
16,5,Electronics,Product_16_Member
17,6,Electronics,Product_17_Own
18,4,Sports,Product_18_Prove
19,3,Sports,Product_19_Add
20,3,Clothing,Product_20_Suggest
21,6,Clothing,Product_21_Executive
22,4,Electronics,Product_22_Policy
23,2,Toys,Product_23_Organization
24,1,Electronics,Product_24_Group
25,1,Electronics,Product_25_South
26,1,Home,Product_26_Development
27,6,Clothing,Product_27_New
28,2,Electronics,Product_28_End
29,4,Home,Product_29_Cause
30,1,Home,Product_30_Thousand
31,3,Books,Product_31_My
32,6,Home,Product_32_Together
33,6,Books,Product_33_Card
34,3,Clothing,Product_34_Real
35,5,Clothing,Product_35_Carry
36,2,Electronics,Product_36_Us
37,2,Electronics,Product_37_Myself
38,6,Clothing,Product_38_Agent
39,6,Clothing,Product_39_Couple
40,6,Clothing,Product_40_Condition
41,3,Toys,Product_41_However
42,2,Sports,Product_42_Magazine
43,6,Books,Product_43_Conference
44,2,Home,Product_44_Maintain
45,1,Toys,Product_45_Certain
46,3,Sports,Product_46_Message
47,3,Home,Product_47_Group
48,5,Sports,Product_48_Help
49,5,Electronics,Product_49_Hour
50,3,Clothing,Product_50_Between
51,3,Sports,Product_51_Two
52,6,Clothing,Product_52_Size
53,6,Electronics,Product_53_Send
54,2,Sports,Product_54_We
55,1,Books,Product_55_Seek
56,6,Sports,Product_56_Available
57,1,Electronics,Product_57_Care
58,2,Electronics,Product_58_Speech
59,4,Toys,Product_59_Production
60,2,Toys,Product_60_Fly
61,5,Toys,Product_61_Mean
62,4,Clothing,Product_62_Thought
63,4,Electronics,Product_63_Stop
64,4,Sports,Product_64_Arrive
65,3,Books,Product_65_Nothing
66,6,Home,Product_66_Very
67,4,Books,Product_67_Wonder
68,1,Toys,Product_68_Agreement
69,3,Electronics,Product_69_Before
70,4,Toys,Product_70_Hour
71,5,Home,Product_71_Condition
72,3,Clothing,Product_72_Parent
73,1,Clothing,Product_73_Measure
74,2,Electronics,Product_74_Official
75,5,Clothing,Product_75_About
76,2,Home,Product_76_Maintain
77,1,Books,Product_77_Recent
78,1,Toys,Product_78_Force
79,5,Electronics,Product_79_Past
80,6,Home,Product_80_Ever
81,6,Clothing,Product_81_Perform
82,5,Books,Product_82_Mean
83,5,Clothing,Product_83_General
84,1,Sports,Product_84_Parent
85,1,Home,Product_85_Protect
86,2,Home,Product_86_Other
87,6,Toys,Product_87_Population
88,3,Sports,Product_88_The
89,2,Sports,Product_89_Physical
90,1,Home,Product_90_Direction
91,2,Electronics,Product_91_Painting
92,6,Sports,Product_92_Water
93,5,Clothing,Product_93_Total
94,2,Toys,Product_94_Pick
95,4,Electronics,Product_95_Right
96,2,Electronics,Product_96_Her
97,5,Home,Product_97_Charge
98,4,Sports,Product_98_Heavy
99,5,Sports,Product_99_Down
100,2,Sports,Product_100_So
101,3,Electronics,Product_101_Value
102,2,Toys,Product_102_Hear
103,4,Home,Product_103_Successful
104,3,Home,Product_104_Across
105,6,Sports,Product_105_Cause
106,4,Clothing,Product_106_Amount
107,4,Sports,Product_107_After
108,2,Sports,Product_108_Report
109,6,Electronics,Product_109_Money
110,6,Sports,Product_110_Western
111,5,Sports,Product_111_Sound
112,6,Sports,Product_112_About
113,4,Sports,Product_113_Almost
114,1,Sports,Product_114_Society
115,4,Clothing,Product_115_Company
116,4,Sports,Product_116_Yes
117,1,Sports,Product_117_History
118,5,Sports,Product_118_Public
119,4,Electronics,Product_119_Our
120,6,Books,Product_120_Sign
121,5,Sports,Product_121_Positive
122,1,Books,Product_122_Something
123,6,Home,Product_123_Accept
124,3,Toys,Product_124_All
125,3,Sports,Product_125_Food
126,2,Electronics,Product_126_Central
127,3,Electronics,Product_127_Skill
128,4,Sports,Product_128_Present
129,1,Clothing,Product_129_Region
130,4,Toys,Product_130_Base
131,5,Electronics,Product_131_Determine
132,2,Clothing,Product_132_Save
133,4,Books,Product_133_Treatment
134,1,Clothing,Product_134_Light
135,5,Clothing,Product_135_Receive
136,6,Electronics,Product_136_Determine
137,6,Clothing,Product_137_Dark
138,2,Toys,Product_138_Owner
139,3,Toys,Product_139_Factor
140,3,Sports,Product_140_New
141,5,Toys,Product_141_Require
142,6,Electronics,Product_142_Again
143,1,Home,Product_143_Civil
144,1,Toys,Product_144_Former
145,5,Sports,Product_145_Onto
146,1,Toys,Product_146_Now
147,5,Clothing,Product_147_Too
148,4,Clothing,Product_148_Realize
149,2,Clothing,Product_149_Consumer
150,4,Sports,Product_150_Miss
151,5,Home,Product_151_Position
152,3,Books,Product_152_Media
153,6,Electronics,Product_153_Under
154,3,Home,Product_154_Cover
155,6,Toys,Product_155_Success
156,5,Electronics,Product_156_Simply
157,2,Clothing,Product_157_Sister
158,5,Electronics,Product_158_Business
159,1,Electronics,Product_159_Cover
160,5,Electronics,Product_160_Impact
161,3,Sports,Product_161_Wrong
162,1,Home,Product_162_Nothing
163,1,Toys,Product_163_He
164,4,Electronics,Product_164_Part
165,2,Home,Product_165_Leg
166,3,Sports,Product_166_Source
167,6,Sports,Product_167_Party
168,4,Sports,Product_168_Low
169,5,Books,Product_169_Table
170,4,Books,Product_170_New
